Catalog Number,Year,Day of Year,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Julian Date,Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Delta Julian Date,Delta Inclination (rad),Delta Omega (rad),Delta Eccentricity,Delta Argument of Perigee (rad),Delta Mean Anomaly (rad),Delta Mean Motion (rev/day),Delta Orbital Period (s),Delta Semi-major axis (km),Maneuver
26997,2002,7.97317583,1.152693977833395,5.4847181183432046,0.000783,4.531386119648114,1.7520330616512398,12.80260114,6748.6285837691885,7718.5585681357925,2563.97317583,0.9138610828426814,0.4060269957350148,-0.7162873287783369,0.6978054618814579,-0.9836636563479935,-0.18001614144319578,0.9836215283299768,-0.18024618998969333,1.0155173600001035,0.0,-0.036761870034756505,-3.2000000000000778e-06,-0.014304718549345452,0.014313445195605956,7.600000007101926e-07,-0.00040061843537841924,-0.00030546421658073086,0
26997,2002,8.36375941,1.152704449808907,5.470594914036067,0.0007764,4.551874539737275,1.7315516228790864,12.80260231,6748.6279670277445,7718.558097881728,2564.36375941,0.9138653346973299,0.40601742578187106,-0.7260708143542708,0.6876199332065105,-0.9871451929834439,-0.15982605535293415,0.9871066693766378,-0.1600638100013898,0.3905835800001114,1.0471975512071907e-05,-0.014123204307137982,-6.599999999999944e-06,0.020488420089161075,-0.02048143877215347,1.169999999106608e-06,-0.0006167414439914864,-0.0004702540645666886,0
26997,2002,8.9105768,1.152704449808907,5.450804625647703,0.0007788,4.549596885063423,1.733834513540695,12.80260255,6748.627840516692,7718.558001419364,2564.9105768,0.9138653346973299,0.40601742578187106,-0.739535942685242,0.6731170696666743,-0.9867786042254226,-0.16207401470601837,0.9867386893205227,-0.16231684754829676,0.5468173899998874,0.0,-0.019790288388363386,2.39999999999995e-06,-0.002277654673852325,0.002282890661608583,2.400000003177638e-07,-0.00012651105225813808,-9.646236412663711e-05,0
26997,2002,9.92609431,1.1527079404674108,5.414047991600701,0.0007788,4.546354063313217,1.7370773352909001,12.80260328,6748.627455712273,7718.557708013028,2565.9260943100003,0.9138667519599423,0.4060142357875956,-0.7637723708617711,0.6454856818769795,-0.9862478395820284,-0.165273104042314,0.9862071374247563,-0.16551580617109585,1.0155175100003362,3.4906585038019244e-06,-0.036756634047002024,0.0,-0.0032428217502058487,0.0032428217502051826,7.300000000043383e-07,-0.0003848044188998756,-0.00029340633591345977,0
26997,2002,10.31666824,1.1527149217844188,5.399860210111241,0.0006454,4.393309631864338,1.8904219633711221,12.80262404,6748.616512525506,7718.549364030793,2566.31666824,0.9138695864517618,0.4060078557842028,-0.772853203651845,0.6345848450798993,-0.9495246219254714,-0.31369251243421575,0.9493531137776183,-0.31421117956040423,0.39057392999984586,6.981317008047938e-06,-0.014187781489460427,-0.0001334,-0.1530444314488788,0.15334462808022198,2.0759999999953038e-05,-0.01094318676769035,-0.008343982234691794,0
26997,2002,10.62891538,1.1524007625190598,5.388513824644025,0.0003044,5.165162294937058,1.119391350376091,12.80906597,6745.2225011844475,7715.961274028644,2566.6289153800003,0.9137419902265006,0.4062949363417094,-0.7800035452169928,0.6257750949414036,-0.899237344863176,0.43746108124429256,0.899835097512744,0.43623021133826845,0.3122471400001814,-0.0003141592653590486,-0.011346385467216002,-0.00034099999999999994,0.7718526630727203,-0.7710306129950311,0.00644193000000115,-3.3940113410581034,-2.588090002149329,0
26997,2002,10.62891582,1.1524025078483118,5.388515569973277,0.0003125,5.22085749669745,1.0636978939449522,12.80905434,6745.228625519283,7715.965944506973,2566.62891582,0.9137426993435462,0.4062933415604662,-0.780002453032226,0.6257764563034551,-0.8734911193578424,0.4868400809331371,0.8741573108655927,0.4856428686393279,4.399998942972161e-07,1.7453292520119845e-06,1.7453292526781183e-06,8.09999999999998e-06,0.055695201760391555,-0.05569345643113888,-1.1630000001261465e-05,0.006124334835476475,0.004670478328989702,0
26997,2002,14.84501305,1.1522384468986244,5.235204103148844,0.0007547,4.459914886778946,1.8236474115190713,12.80927953,6745.110042890914,7715.875511970252,2570.84501305,0.9136760301752301,0.40644324558692313,-0.8664169642432262,0.49932118327941194,-0.9682973563591002,-0.2498003796393786,0.9682031150285018,-0.2501654013829766,4.216097229999832,-0.0001640609496873502,-0.15331146682443375,0.00044219999999999996,-0.7609426099185042,0.7599495175741191,0.00022519000000009726,-0.11858262836904032,-0.09043253672098217,0
26997,2002,14.92308822,1.1523379306659882,5.232203882164665,0.000761,4.507726436308079,1.7757852474416305,12.80928057,6745.109495247788,7715.875094329796,2570.92308822,0.9137164601591191,0.4063523476421527,-0.8679111364398765,0.4967194975472998,-0.9791296237161,-0.20323675839170519,0.9790632398518921,-0.20355631252976747,0.07807516999992004,9.948376736379494e-05,-0.0030002209841786254,6.2999999999999905e-06,0.04781154952913358,-0.047862164077440816,1.0400000007848575e-06,-0.0005476431260831305,-0.0004176404554527835,0
26997,2002,15.85999848,1.1524793023353996,5.198335768029715,0.0007618,4.530829359616727,1.752624728267666,12.8092974,6745.10063291996,7715.868335790681,2571.8599984800003,0.9137738977379379,0.406223169960573,-0.8842331523454304,0.4670457496790467,-0.9835632781017332,-0.18056377812222674,0.9835147105149574,-0.18082813442791332,0.9369102600003316,0.00014137166941141643,-0.03386811413495039,8.000000000000194e-07,0.023102923308647938,-0.023160519173964556,1.6829999999856682e-05,-0.008862327827955596,-0.00675853911525337,0
